18;A = ;1587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Результат корректный;;;
;;;+;B3(2);;0;1;1;0;.;0;0;0;1;.;0;1;1;1;.;1;0;0;1;;;;;+;X3(2);;24953;;;;
;;;;---------------;---------------------;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;;;;;;--------------;--------------;-------------;;;;
;;;;Прямой код;0;1;0;1;1;.;1;1;0;0;.;1;0;1;1;.;1;1;1;1;(2) = ;-17217;(10);;;;;48319;(10);;;
;;;;Доп код;;1;1;0;0;.;0;0;1;1;.;0;1;0;0;.;0;0;0;1;;;;;;;;;;;;
;;;;;;CF = ;;;0;;PF =;;;0;;AF = ;;;0;;ZF = ;;;0;;SF = ;1;OF =;1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;Перенос;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;;;;;;;;;;;;
;;;;B2(2);;0;1;0;1;.;1;0;1;1;.;0;1;0;0;.;0;1;1;0;;;;;;X2(2);;23366;;Результат корректный;;
;;;+;B7(2);;1;1;1;1;.;1;0;0;1;.;1;1;0;0;.;1;1;0;1;;;;;+;X7(2);;-1587;;;;
;;;;---------------;---------------------;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;;;;;;--------------;--------------;-------------;;;;
;;;;Прямой код;1;0;1;0;1;.;0;1;0;1;.;0;0;0;1;.;0;0;1;1;(2) = ;21779;(10);;;;;21779;(10);;;
;;;;Доп код;;;;;;.;;;;;.;;;;;.;;;;;;;;;;;;;;;;
;;;;;;CF = ;;;1;;PF =;;;0;;AF = ;;;1;;ZF = ;;;0;;SF = ;0;OF =;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;Перенос;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;;;;;;;;;;;;
;;;;B7(2);;1;1;1;1;.;1;0;0;1;.;1;1;0;0;.;1;1;0;1;;;;;;X1(2);;-1587;;Результат корректный;;
;;;+;B8(2);;1;0;1;0;.;0;1;0;0;.;1;0;1;1;.;1;0;1;0;;;;;+;X2(2);;-23366;;;;
;;;;---------------;---------------------;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;;;;;;--------------;--------------;-------------;;;;
;;;;Прямой код;1;1;0;0;1;.;1;1;1;0;.;1;0;0;0;.;0;1;1;1;(2) = ;-24953;(10);;;;;-24953;(10);;;
;;;;Доп код;;1;1;1;0;.;0;0;0;1;.;0;1;1;1;.;1;0;0;1;;;;;;;;;;;;
;;;;;;CF = ;;;1;;PF =;;;1;;AF = ;;;1;;ZF = ;;;0;;SF = ;1;OF =;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;Перенос;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;;;;;;;;;;;;
;;;;B8(2);;1;0;1;0;.;0;1;0;0;.;1;0;1;1;.;1;0;1;0;;;;;;X1(2);;-23366;;При сложении отрицатель-ных чисел получен положительный результат – ПЕРЕПОЛНЕНИЕ!;;
;;;+;B9(2);;1;0;0;1;.;1;1;1;0;.;1;0;0;0;.;0;1;1;1;;;;;+;X2(2);;-24953;;;;
;;;;---------------;---------------------;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;;;;;;--------------;--------------;-------------;;;;
;;;;Прямой код;1;0;1;0;0;.;0;0;1;1;.;0;1;0;0;.;0;0;0;1;(2) = ;17217;(10);;;;;-48319;(10);;;
;;;;Доп код;;;;;;.;;;;;.;;;;;.;;;;;;;;;;;;;;;;
;;;;;;CF = ;;;1;;PF =;;;1;;AF = ;;;1;;ZF = ;;;0;;SF = ;0;OF =;1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;Перенос;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;;;;;;;;;;;;
;;;;B1(2);;0;0;0;0;.;0;1;1;0;.;0;0;1;1;.;0;0;1;1;;;;;;X1(2);;1587;;Результат корректный;;
;;;+;B8(2);;1;0;1;0;.;0;1;0;0;.;1;0;1;1;.;1;0;1;0;;;;;+;X2(2);;-23366;;;;
;;;;---------------;---------------------;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;;;;;;--------------;--------------;-------------;;;;
;;;;Прямой код;0;1;0;1;0;.;1;0;1;0;.;1;1;1;0;.;1;1;0;1;(2) = ;-21779;(10);;;;;-21779;(10);;;
;;;;Доп код;;1;1;0;1;.;0;1;0;1;.;0;0;0;1;.;0;0;1;1;;;;;;;;;;;;
;;;;;;CF = ;;;0;;PF =;;;1;;AF = ;;;0;;ZF = ;;;0;;SF = ;1;OF =;0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;Перенос;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;;;;;;;;;;;;
;;;;B11(2);;1;0;1;0;.;1;0;1;0;.;1;1;1;0;.;1;1;0;1;;;;;;X1(2);;-21779;;Результат корректный;;
;;;+;B3(2);;0;1;1;0;.;0;0;0;1;.;0;1;1;1;.;1;0;0;1;;;;;+;X2(2);;24953;;;;
;;;;---------------;---------------------;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;;;;;;--------------;--------------;-------------;;;;
;;;;Прямой код;1;0;0;0;0;.;1;1;0;0;.;0;1;1;0;.;0;1;1;0;(2) = ;3174;(10);;;;;3174;(10);;;
;;;;Доп код;;;;;;.;;;;;.;;;;;.;;;;;;;;;;;;;;;;
;;;;;;CF = ;;;1;;PF =;;;1;;AF = ;;;1;;ZF = ;;;0;;SF = ;0;OF =;0;;;;;;;
